N,P,K,temperature,humidity,ph,rainfall,label
64,23,45,32.31337320422333,53.781195250394724,5.206903336521052,805.9019693701523,Onion
40,38,48,16.939760603183785,55.92106350448597,6.897215406248393,277.1207725391305,Sugarcane
58,73,72,42.62984162491981,65.03919392918431,7.576335595725808,653.7865886122513,Wheat
73,38,41,35.648749525001335,64.03259086710588,8.193004250285968,395.6852109234912,Rice
82,41,69,43.59768642557421,65.19859718006134,8.065731555644087,544.8076542590679,Onion
132,40,57,23.74208512040161,86.19740729196513,7.771739833887053,659.7989399096474,Sugarcane
37,67,48,30.99908889937337,36.219319281727984,8.414915195809925,984.4825773305598,Soybean
68,86,40,40.984838810848096,66.04780464169812,6.373918252271764,806.1815391549576,Sugarcane
122,29,41,15.333809491141391,59.14580127172305,7.547666826019196,336.8524573259942,Rice
86,28,67,24.40825403476163,59.043971416422764,8.042711538988819,699.2856023847586,Maize (Corn)
69,83,78,31.691273912900048,64.56513795548324,5.610934732220559,123.36379610647373,Wheat
32,54,53,15.670105504888815,58.5971141604948,7.073048352869367,1092.3278571327146,Wheat
68,53,20,19.4041093506217,53.40362982845393,7.356002924236127,122.43318397749121,Soybean
69,58,74,39.45378339311928,75.21146187433965,6.662656815126596,525.4751238255992,Cotton
56,90,77,36.361973364618436,36.04495433810298,8.299300131721496,492.78600937002,Cotton
109,55,64,18.754484824941827,77.22913332841787,7.687695222089325,835.0995545143919,Cotton
145,26,71,32.47514133203917,42.13294492460619,7.091812120586775,366.54022130431423,Soybean
125,60,22,40.06470690005795,47.46205583947744,7.443757483532586,629.864897024305,Onion
95,68,26,17.330650029113333,93.4243808713716,6.554287957157667,1102.1854397701331,Cotton
29,77,24,34.953703223107944,79.90881499047228,7.090631103812299,799.3193176074546,Maize (Corn)
146,76,28,44.239118195155065,60.08284842885716,8.444867278024773,228.77802856056522,Cotton
42,60,46,41.263000281469274,35.8702930825794,6.850244347172179,816.3600544598669,Sugarcane
108,88,65,26.044343040456514,67.87071265102519,7.839078659486504,1050.498935296955,Sugarcane
120,35,31,44.01429272352214,34.4054544569163,8.343575579543902,506.02294707259733,Onion
51,98,57,39.3272307120986,55.66243701983956,7.549605923280734,888.7771295803708,Rice
127,29,36,24.126052777472186,71.14529096972356,8.359799402308214,749.5596833788887,Sugarcane
141,78,60,34.18053981611494,82.51528829700672,6.788765112106542,62.64189542539535,Cotton
127,34,72,33.57895732192779,40.26923642198098,6.983710426345985,469.5753586139325,Soybean
27,29,74,35.48075081036746,89.24893813852378,5.751795867224178,519.7428032004946,Cotton
148,59,48,18.283220557505775,39.845752410991814,6.728795544196956,434.96880378534746,Maize (Corn)
102,80,73,41.47131426176216,89.95742307263288,5.934097391237154,114.30912049159788,Sugarcane
35,69,43,41.00967905372835,93.65137636139318,5.55414370018954,177.26236437309836,Maize (Corn)
48,25,47,40.07737649964489,76.52814055507366,5.837612790834358,290.13660409649935,Rice
146,25,78,17.27206541744558,92.4524491153358,5.302404101159101,181.58546592705414,Onion
39,65,47,37.10287702149028,53.2431701473961,7.234521651377451,296.4765102498583,Soybean
43,68,42,30.231719973823303,71.31411323739692,5.241859879295674,490.12648752778813,Soybean
104,94,25,34.012832476846384,42.429604298029815,8.251285721325287,257.54799586586034,Cotton
125,84,79,27.723530370172433,53.52501647137745,7.129764915339798,679.4359146234253,Maize (Corn)
113,84,57,17.975178731934975,80.3584949962499,8.200607758484484,557.5517762657782,Sugarcane
123,27,28,40.93879459893161,69.44175826285607,7.3170397131388025,917.8200377610061,Cotton
97,74,22,16.38377050007057,31.675426980266128,7.2032650701118754,340.748590825773,Cotton
128,37,47,19.832379001435104,32.43694718994345,6.510608924173749,402.3219396931999,Onion
136,95,20,30.38977203168712,31.281686964026644,6.429963972831938,752.8610064989152,Sugarcane
130,87,42,27.52612637474411,88.15474421132276,6.22980907523232,913.6110464649785,Maize (Corn)
