N,P,K,temperature,humidity,ph,rainfall,label
90,42,43,20.87,82.00,6.50,202.93,Rice
85,58,41,21.77,80.31,7.03,226.65,Rice
60,55,44,23.00,82.32,7.84,263.96,Rice
107,34,32,28.05,73.28,6.10,158.31,Maize (Corn)
104,18,30,23.60,60.39,6.77,140.93,Maize (Corn)
118,30,30,24.18,73.49,6.44,196.01,Maize (Corn)
40,58,33,24.52,37.46,5.70,145.91,Cotton
37,42,38,23.10,45.67,6.34,167.34,Cotton
55,45,40,25.45,50.12,6.12,180.23,Cotton
20,60,20,28.00,55.00,6.50,1000.00,Sugarcane
15,55,25,26.00,60.00,7.00,1200.00,Sugarcane
25,65,15,30.00,50.00,6.00,1500.00,Sugarcane
30,70,30,18.00,40.00,6.50,450.00,Wheat
25,65,35,15.00,35.00,7.00,400.00,Wheat
35,75,25,20.00,45.00,6.00,500.00,Wheat
40,20,10,25.00,80.00,6.50,1000.00,Sweet Orange (Mosambi)
35,25,15,28.00,75.00,7.00,800.00,Sweet Orange (Mosambi)
30,60,20,25.00,30.00,7.50,300.00,Pomegranate
25,55,25,30.00,25.00,8.00,200.00,Pomegranate
20,40,20,25.00,40.00,6.50,500.00,Tur (Pigeon Pea)
25,35,25,28.00,45.00,7.00,600.00,Tur (Pigeon Pea)
10,20,10,24.00,70.00,6.00,900.00,Ginger
15,25,15,26.00,65.00,6.50,800.00,Ginger
20,20,60,25.00,50.00,6.00,600.00,Onion
25,25,55,22.00,55.00,6.50,500.00,Onion
30,30,40,20.00,40.00,6.50,400.00,Bajra (Pearl Millet)
40,40,20,25.00,45.00,7.00,500.00,Jowar (Sorghum)
10,40,20,28.00,80.00,6.50,1100.00,Soybean
10,20,20,25.00,80.00,6.50,1200.00,Custard Apple (Sitaphal)
50,30,30,25.00,70.00,6.50,800.00,Grapes
